"latitude","longitude","date"
40.46339,-82.82576,"6/20/1978"
40.5896,-82.82214,"8/15/2002"
40.50945,-82.87663,"1/13/2005"
NA,NA,""
39.90416,-81.98721,"7/26/2003"
40.01209,-82.13298,"12/1/2015"
39.88653,-81.27132,"2/1/1977"
39.64081,-81.47081,"6/19/1982"
39.93154,-81.28671,"8/1/1988"
39.64193,-82.1013,"5/11/2003"
39.63255,-82.26463,"2/15/2020"
39.59607,-82.35291,"10/31/2020"
39.10611,-83.0363,"5/1/2000"
39.0895,-82.8342,"6/1/2013"
39.05922,-83.07492,"12/24/2013"
41.10715,-81.1414,"11/1/1970"
41.31405,-81.38112,"8/1/1976"
41.06499,-81.3741,"7/31/1983"
41.15845,-81.33134,"4/16/1986"
41.18518,-81.03764,"7/15/1986"
41.16187,-81.37181,"7/1/1987"
41.15384,-81.1124,"2/12/1994"
41.2599,-81.1455,"10/1/1995"
41.17646,-81.32425,"4/15/1997"
41.13021,-81.11578,"8/15/1999"
40.98596,-81.11642,"8/1/2000"
41.13356,-81.17155,"10/10/2003"
41.3235,-81.22745,"11/2/2003"
41.05931,-81.3654,"6/11/2008"
NA,NA,""
41.13183,-81.11617,"6/17/2009"
NA,NA,""
41.06194,-81.36305,"8/17/2011"
39.64146,-84.48506,"9/1/1978"
39.65361,-84.66399,"11/15/2012"
39.65625,-84.51192,"6/7/2014"
NA,NA,""
40.92276,-82.44401,"11/1/1958"
40.74705,-82.64864,"7/1/1996"
40.61236,-82.48699,"9/1/1998"
39.10495,-82.79665,"9/7/2002"
39.20212,-83.13585,"12/1/2002"
40.00915,-82.67252,"8/1/1968"
38.54852,-82.66616,"8/25/1980"
41.7164,-81.1438,"7/1/1981"
40.36462,-82.24197,"1/5/2018"
40.34042,-80.64211,"12/1/1978"
41.0672,-82.41861,"8/1/1999"
40.59935,-82.23988,"7/3/1997"
39.48219,-82.32669,"5/1/1979"
40.33345,-81.26559,"5/30/1998"
40.6445,-83.6118,"7/18/2002"
41.14896,-83.43667,"6/1/1994"
39.26903,-84.25986,"10/12/2013"
39.745,-83.825,"5/7/1988"
NA,NA,""
38.88059,-82.43382,"1/17/1972"
38.79833,-82.54968,"5/25/1998"
38.79381,-82.55177,"9/3/1998"
38.9264,-82.14285,"2/22/2011"
38.965,-82.905,"1/21/2017"
41.44442,-81.20629,"2/5/1978"
41.47349,-81.3726,"8/15/1980"
41.39803,-81.33974,"10/26/2001"
41.5325,-81.1351,"8/4/2002"
41.5621,-81.22853,"7/1/2004"
41.57231,-81.22075,"2/24/2005"
41.50086,-81.28275,"8/14/2005"
41.38199,-81.27506,"8/4/2006"
39.74961,-84.09158,"6/1/2002"
39.6543,-83.7278,"3/16/2013"
40.08946,-81.69818,"10/25/1996"
40.17699,-81.63656,"10/15/1998"
39.95329,-81.39827,"8/1/1999"
40.10801,-81.56232,"5/15/2003"
40.0799,-81.49697,"4/17/2004"
39.92781,-81.61014,"8/17/2004"
40.1218,-81.5117,"8/18/2004"
40.1138,-81.5518,"8/12/2005"
40.11632,-81.52101,"7/28/2006"
40.11682,-81.4936,"7/18/2010"
40.10348,-81.50933,"5/5/2013"
40.12719,-81.50403,"6/17/2013"
40.14003,-81.49033,"2/12/2017"
NA,NA,""
40.01452,-81.34529,"7/6/2021"
40.6559,-83.9374,"3/25/2004"
40.42655,-81.25576,"10/1/2000"
40.42687,-81.2558,"7/18/2004"
