"latitude","longitude","county"
NA,NA,"Cuyahoga County"
41.2625,-84.38103,"Defiance County"
39.03501,-84.1317,"Clermont County"
39.92821,-83.64597,"Clark County"
40.04792,-83.5556,"Champaign County"
40.54605,-81.26217,"Carroll County"
39.49695,-84.45905,"Butler County"
38.81772,-83.80582,"Brown County"
40.01784,-80.93318,"Belmont County"
NA,NA,"Auglaize County"
39.4484,-82.2244,"Athens County"
39.45789,-82.24257,"Athens County"
39.47642,-82.24155,"Athens County"
NA,NA,"Athens County"
39.28537,-81.85331,"Athens County"
NA,NA,"Athens County"
39.86019,-81.20422,"Belmont County"
40.01983,-81.07013,"Belmont County"
39.91209,-81.04791,"Belmont County"
40.10975,-80.85938,"Belmont County"
40.10084,-81.14331,"Belmont County"
NA,NA,"Brown County"
38.64301,-83.69977,"Brown County"
39.37215,-84.80138,"Butler County"
39.37509,-84.79429,"Butler County"
40.68514,-81.02382,"Carroll County"
40.71737,-81.18352,"Carroll County"
40.64049,-80.90944,"Carroll County"
40.01979,-83.56088,"Champaign County"
39.92104,-83.95184,"Clark County"
39.85461,-83.94906,"Clark County"
39.86096,-83.96562,"Clark County"
39.89216,-83.96123,"Clark County"
39.01569,-84.08533,"Clermont County"
39.00175,-84.14354,"Clermont County"
NA,NA,"Clermont County"
38.99484,-84.10731,"Clermont County"
40.6807,-80.57164,"Columbiana County"
40.63606,-80.53528,"Columbiana County"
40.76533,-80.55217,"Columbiana County"
40.69334,-80.57396,"Columbiana County"
40.70386,-80.58332,"Columbiana County"
40.72943,-80.59236,"Columbiana County"
40.68935,-80.57593,"Columbiana County"
40.77972,-80.64831,"Columbiana County"
40.725,-80.616,"Columbiana County"
40.73206,-80.61996,"Columbiana County"
40.87496,-80.7291,"Columbiana County"
40.92344,-80.84042,"Columbiana County"
40.35097,-81.99847,"Coshocton County"
40.2287,-81.96845,"Coshocton County"
40.3244,-81.99955,"Coshocton County"
40.25597,-82.1334,"Coshocton County"
40.15002,-83.02854,"Delaware County"
41.17222,-82.34181,"Erie County"
39.5246,-82.6353,"Fairfield County"
39.59947,-82.63536,"Fairfield County"
NA,NA,"Fairfield County"
39.6279,-82.83647,"Fairfield County"
40.08159,-83.0337,"Franklin County"
39.89203,-83.00142,"Franklin County"
41.81902,-80.58163,"Ashtabula County"
40.85035,-82.29486,"Ashland County"
40.73412,-84.06565,"Allen County"
38.89665,-83.40573,"Adams County"
36.13222,-95.79677,"Tulsa County"
34.38638,-98.99414,"Tillman County"
35.56637,-94.98001,"Sequoyah County"
35.26808,-96.60222,"Seminole County"
36.18889,-95.74556,"Rogers County"
35.76152,-99.93007,"Roger Mills County"
34.86111,-96.66528,"Pontotoc County"
34.81417,-95.65417,"Pittsburg County"
35.97389,-97.03333,"Payne County"
36.94679,-94.71512,"Ottawa County"
36.62116,-96.12164,"Osage County"
35.64389,-97.45694,"Oklahoma County"
35.42014,-97.21555,"Oklahoma County"
35.53925,-97.67827,"Oklahoma County"
NA,NA,"Osage County"
36.02306,-97.1225,"Payne County"
NA,NA,"Payne County"
34.6021,-95.11875,"Pushmataha County"
34.50572,-95.12156,"Pushmataha County"
NA,NA,"Sequoyah County"
NA,NA,"Tulsa County"
NA,NA,"Tulsa County"
36.37919,-95.80589,"Tulsa County"
38.83859,-83.28128,"Adams County"
38.73687,-83.39134,"Adams County"
NA,NA,"Adams County"
39.11929,-83.40022,"Adams County"
NA,NA,"Adams County"
38.82795,-83.56633,"Adams County"
40.65572,-83.93892,"Allen County"
40.82327,-82.32803,"Ashland County"
40.99562,-82.38627,"Ashland County"
40.60787,-82.26236,"Ashland County"
40.61111,-82.29642,"Ashland County"
40.65099,-82.33575,"Ashland County"
40.8557,-82.26972,"Ashland County"
40.81139,-82.26806,"Ashland County"
40.61309,-82.31692,"Ashland County"
41.81835,-80.93665,"Ashtabula County"
41.72735,-80.54558,"Ashtabula County"
41.72134,-80.88494,"Ashtabula County"
41.81429,-80.84143,"Ashtabula County"
41.81287,-80.95952,"Ashtabula County"
41.76702,-80.98022,"Ashtabula County"
41.85256,-80.96186,"Ashtabula County"
36.91528,-95.80417,"Nowata County"
35.70166,-95.70208,"Muskogee County"
34.495,-96.972,"Murray County"
35.36895,-95.97023,"McIntosh County"
36.879,-95.1695,"Mayes County"
33.89444,-96.75361,"Marshall County"
NA,NA,"Major County"
33.82444,-97.07361,"Love County"
35.74111,-97.479,"Logan County"
35.86972,-96.968,"Lincoln County"
35.00278,-95.34111,"Latimer County"
NA,NA,"Johnston County"
35.27056,-95.97,"Hughes County"
34.73153,-99.81514,"Harmon County"
34.21174,-96.63857,"Johnston County"
34.92333,-95.26167,"Latimer County"
34.72195,-94.96639,"Le Flore County"
34.75139,-95.04778,"Le Flore County"
34.61361,-94.84861,"Le Flore County"
34.44333,-94.65639,"Le Flore County"
34.84167,-94.63111,"Le Flore County"
34.53889,-94.93722,"Le Flore County"
34.52667,-94.70278,"Le Flore County"
34.59583,-94.55944,"Le Flore County"
34.52436,-94.91928,"Le Flore County"
34.689,-94.7325,"Le Flore County"
34.695,-94.685,"Le Flore County"
34.78833,-94.70667,"Le Flore County"
34.64583,-94.575,"Le Flore County"
34.74338,-94.7297,"Le Flore County"
34.73966,-94.7264,"Le Flore County"
NA,NA,"Le Flore County"
34.49108,-94.49968,"Le Flore County"
NA,NA,"Le Flore County"
34.4082,-94.38045,"Le Flore County"
35.0271,-94.66875,"Le Flore County"
34.8146,-94.66875,"Le Flore County"
34.4415,-94.4325,"Le Flore County"
34.64856,-94.46039,"Le Flore County"
35.68583,-97.00389,"Lincoln County"
35.68081,-97.26022,"Logan County"
NA,NA,"Logan County"
36.22935,-95.2419,"Mayes County"
35.24194,-97.5625,"McClain County"
34.39639,-95.01167,"McCurtain County"
34.45195,-94.60042,"McCurtain County"
34.36778,-94.68028,"McCurtain County"
34.021,-94.4435,"McCurtain County"
34.0775,-94.4095,"McCurtain County"
34.13716,-94.69904,"McCurtain County"
35.2933,-95.94727,"McIntosh County"
35.7575,-95.60667,"Muskogee County"
NA,NA,"Garvin County"
36.03501,-96.36707,"Creek County"
34.62944,-98.62833,"Comanche County"
35.21111,-97.24139,"Cleveland County"
34.11306,-95.62278,"Choctaw County"
NA,NA,"Carter County"
34.9575,-98.31556,"Caddo County"
34.29861,-96.30222,"Atoka County"
NA,NA,"Washington County"
45.4051,-121.424,"Wasco County"
45.44986,-117.7273,"Wallowa County"
NA,NA,"Union County"
45.3712,-118.5518,"Umatilla County"
NA,NA,"Umatilla County"
45.5,-118.42,"Umatilla County"
45.9957,-118.1253,"Umatilla County"
45.5789,-118.6016,"Umatilla County"
45.3233,-118.2742,"Umatilla County"
NA,NA,"Umatilla County"
45.6605,-118.5654,"Umatilla County"
NA,NA,"Umatilla County"
45.48318,-118.83,"Umatilla County"
45.84175,-117.991,"Umatilla County"
45.99215,-118.0811,"Umatilla County"
45.46571,-118.875,"Umatilla County"
45.58982,-118.6131,"Umatilla County"
45.6764,-118.5658,"Umatilla County"
45.66721,-118.7056,"Umatilla County"
45.45024,-118.3243,"Umatilla County"
45.43806,-118.0883,"Union County"
NA,NA,"Union County"
45.80374,-118.0603,"Union County"
NA,NA,"Wallowa County"
45.91665,-117.925,"Wallowa County"
44.8464,-121.1537,"Wasco County"
NA,NA,"Wasco County"
NA,NA,"Wasco County"
45.8417,-121.7084,"Wasco County"
45.24006,-121.6794,"Wasco County"
45.33935,-121.3226,"Wasco County"
45.63606,-123.3471,"Washington County"
NA,NA,"Washington County"
45.4915,-123.2665,"Washington County"
45.46429,-123.0697,"Washington County"
45.48204,-122.9903,"Washington County"
45.76569,-123.3601,"Washington County"
34.25,-96.21,"Atoka County"
35.50556,-98.575,"Caddo County"
35.10278,-98.34056,"Caddo County"
35.33389,-98.13028,"Caddo County"
35.08344,-98.24586,"Caddo County"
35.50285,-94.77699,"Cherokee County"
35.325,-95.0585,"Cherokee County"
35.92806,-94.83,"Cherokee County"
35.27639,-97.33528,"Cleveland County"
NA,NA,"Cleveland County"
34.76134,-98.61497,"Comanche County"
35,-99,"Comanche County"
36.4168,-94.78227,"Delaware County"
36.4075,-94.92667,"Delaware County"
NA,NA,"Delaware County"
NA,NA,"Tillamook County"
45.06881,-123.6956,"Polk County"
45.4861,-122.277,"Multnomah County"
45.83675,-119.6389,"Morrow County"
NA,NA,"Marion County"
44.6335,-121.8165,"Linn County"
44.23861,-122.0505,"Lane County"
NA,NA,"Lake County"
NA,NA,"Klamath County"
NA,NA,"Jefferson County"
45.2075,-121.886,"Hood River County"
NA,NA,"Harney County"
44.825,-118.415,"Grant County"
44.39104,-118.9491,"Grant County"
43.8628,-121.8829,"Deschutes County"
44.1263,-121.3338,"Deschutes County"
43.48257,-121.9104,"Deschutes County"
NA,NA,"Deschutes County"
43.5705,-121.8955,"Deschutes County"
44.16966,-121.5014,"Deschutes County"
NA,NA,"Deschutes County"
43.7151,-121.6347,"Deschutes County"
44.2157,-121.4755,"Deschutes County"
43.94225,-121.3815,"Deschutes County"
NA,NA,"Deschutes County"
NA,NA,"Deschutes County"
NA,NA,"Deschutes County"
44.56625,-121.6384,"Deschutes County"
43.97603,-121.7828,"Deschutes County"
43.98136,-121.4705,"Deschutes County"
43.31815,-122.1954,"Douglas County"
43.40867,-122.8887,"Douglas County"
43.6744,-123.2675,"Douglas County"
43.7827,-123.9599,"Douglas County"
43.20335,-122.3759,"Douglas County"
43.225,-123.175,"Douglas County"
44.55505,-123.3604,"Douglas County"
43.16815,-123.4911,"Douglas County"
NA,NA,"Douglas County"
43.5251,-123.311,"Douglas County"
43.2073,-123.5585,"Douglas County"
43.3029,-123.1611,"Douglas County"
43.3622,-122.1814,"Douglas County"
43.296,-122.5541,"Douglas County"
43.61538,-123.5036,"Douglas County"
44.7751,-118.7717,"Grant County"
44.5385,-118.5908,"Grant County"
44.9723,-118.3692,"Grant County"
43.85975,-118.8215,"Harney County"
45.3725,-121.5835,"Hood River County"
45.5666,-121.7745,"Hood River County"
NA,NA,"Hood River County"
45.5775,-121.6444,"Hood River County"
45.54478,-121.5449,"Hood River County"
NA,NA,"Hood River County"
NA,NA,"Hood River County"
45.49805,-121.8214,"Hood River County"
45.25725,-121.5684,"Hood River County"
45.274,-121.6796,"Hood River County"
45.63923,-121.8735,"Hood River County"
45.38736,-121.5134,"Hood River County"
42.4356,-122.2328,"Jackson County"
NA,NA,"Jackson County"
42.08845,-122.7465,"Jackson County"
NA,NA,"Jackson County"
42.2356,-123.0137,"Jackson County"
42.6,-122.475,"Jackson County"
42.12363,-122.339,"Jackson County"
44.42565,-121.726,"Jefferson County"
NA,NA,"Josephine County"
42.375,-123.3833,"Josephine County"
42.02106,-123.2725,"Josephine County"
42.1533,-123.5381,"Josephine County"
42.16298,-123.6481,"Josephine County"
42.56805,-123.3322,"Josephine County"
NA,NA,"Josephine County"
NA,NA,"Josephine County"
42.09224,-123.4043,"Josephine County"
42.39031,-123.449,"Josephine County"
42.24165,-123.6416,"Josephine County"
42.0833,-123.3333,"Josephine County"
42.354,-123.4034,"Josephine County"
42.16024,-123.6216,"Josephine County"
42.22501,-123.75,"Josephine County"
42.125,-123.2916,"Josephine County"
NA,NA,"Josephine County"
42.8673,-122.1629,"Klamath County"
NA,NA,"Klamath County"
NA,NA,"Klamath County"
42.47,-122.275,"Klamath County"
43.08929,-122.0802,"Klamath County"
42.23865,-121.9446,"Klamath County"
42.36945,-121.3866,"Klamath County"
44.15568,-121.9531,"Lane County"
43.9311,-124.1214,"Lane County"
43.69005,-122.3755,"Lane County"
44.09462,-123.3724,"Lane County"
44.19167,-123.975,"Lane County"
NA,NA,"Lane County"
43.6947,-122.0449,"Lane County"
43.7667,-123.455,"Lane County"
44.27795,-121.9524,"Lane County"
43.5883,-122.0833,"Lane County"
43.6165,-122.1,"Lane County"
43.6583,-122.8042,"Lane County"
NA,NA,"Lane County"
NA,NA,"Lane County"
44.05917,-122.9343,"Lane County"
43.85062,-122.7085,"Lane County"
NA,NA,"Linn County"
NA,NA,"Linn County"
44.6616,-122.8494,"Linn County"
